"countryName","num_students"
"Antigua and Barbuda",1
"Bahamas",1
"Benin",1
"Brunei",1
"Burundi",1
"Cape Verde",1
"Congo - Kinshasa",1
"Côte d’Ivoire",1
"Dominica",1
"Fiji",1
"Greenland",1
"Grenada",1
"Guadeloupe",1
"Guam",1
"Lesotho",1
"Malawi",1
"Namibia",1
"Netherlands Antilles",1
"Oman",1
"Papua New Guinea",1
"Polan",1
"Réunion",1
"Rwanda",1
"Solomon Islands",1
"Timor-Leste",1
"U.S. Virgin Islands",1
"Uzbekistan",1
"Afghanistan",2
"Angola",2
"Barbados",2
"Bermuda",2
"Curaçao",2
"French Polynesia",2
"Isle of Man",2
"Macau SAR China",2
"Madagascar",2
"Moldova",2
"Myanmar (Burma)",2
"Saint Helena",2
"Zambia",2
"Armenia",3
"Bahrain",3
"Cambodia",3
"Cuba",3
"Georgia",3
"Haiti",3
"Honduras",3
"Jamaica",3
"Jersey",3
"Liberia",3
"Libya",3
"Macedonia",3
"Mali",3
"Mongolia",3
"Serbia and Montenegro",3
"Tanzania",3
"Zimbabwe",3
"Botswana",4
"El Salvador",4
"Iraq",4
"Mauritius",4
"Nicaragua",4
"Palestinian Territories",4
"Puerto Rico",4
"Senegal",4
"Albania",5
"Bosnia & Herzegovina",6
"Cameroon",6
"Cyprus",6
"Panama",6
"Qatar",6
"Uganda",6
"Jordan",7
"Kuwait",7
"Malta",7
"Ghana",8
"Kiribati",8
"Iceland",9
"Kazakhstan",9
"Luxembourg",9
"Nepal",9
"Paraguay",9
"Slovenia",9
"Dominican Republic",10
"Slovakia",10
"Sri Lanka",10
"Trinidad & Tobago",10
"Syria",12
"Uruguay",12
"Lebanon",13
"Sudan",13
"Estonia",14
"Ethiopia",14
"Vietnam",14
"Belarus",15
"Inited States",15
"Lithuania",15
"Latvia",16
"Saudi Arabia",18
"Bolivia",19
"Tunisia",20
"Algeria",21
"Guatemala",22
"Kenya",24
"United Arab Emirates",24
"Costa Rica",25
"Azerbaijan",27
"Bulgaria",28
"Bangladesh",29
"Nigeria",31
"Morocco",33
"Ecuador",35
"Serbia",39
"Croatia",43
"Thailand",45
"Malaysia",50
"Taiwan",59
"Ukraine",61
"Hungary",62
"Indonesia",68
"Norway",78
"Pakistan",80
"Czechia",82
"Finland",82
"Denmark",96
"Venezuela",97
"Iran",99
"Egypt",101
"Israel",105
"Poland",106
"New Zealand",110
"Hong Kong SAR China",111
"Peru",121
"Ireland",127
"South Korea",131
"Philippines",133
"Greece",139
"South Africa",139
"Belgium",143
"Chile",143
"Romania",153
"Austria",163
"Portugal",172
"Japan",176
"Russia",182
"Switzerland",187
"Turkey",191
"Argentina",192
"Singapore",198
"Sweden",223
"Colombia",344
"France",423
"Netherlands",458
"Spain",549
"China",562
"Australia",624
"Mexico",712
"Germany",793
"Brazil",829
"Canada",846
"India",933
"Italy",957
"United Kingdom",1428
"United States",8865
"blank",15864
